Title,description,authors,publisher,publishedDate,categories,ratingsCount
The Screwtape letters,"In this humorous and perceptive exchange between two devils, C. S. Lewis delves into moral questions about good vs. evil, temptation, repentance, and grace. Through this wonderful tale, the reader emerges with a better understanding of what it means to live a faithful life.",C. S. Lewis,Zondervan,2001-02-06,Religion,103.0
The Tin Drum,"The greatest German novel since the end of World War II, The Tin Drum is the autobiography of Oskar Matzerath, thirty years old, detained in a mental hospital, convicted of a murder he did not commit. On the day of his third birthday, Oskar had ""declared, resolved, and determined [to] stop right there, remain as I was, stay the same size, cling to the same attire"" (striped pullover and patent-leather shoes). That same day Oskar receives his first tin drum, and from then on it is the means of his expression, allowing him to draw forth memories from the past as well as judgments about the horrors, injustices, and eccentricities he observes through the long nightmare of the Nazi era. As that era ebbs bloodily away, as drum succeeds drum, Oskar participates in the German postwar economic miracle -- working variously in the black market, as an artist's model, in a troupe of traveling musicians. With the onset of affluence and fame, Oskar decides to grow a few inches, only to develop a humpback. But despite his newfound status (and stature), Oskar remains haunted by the deaths of his parents, afflicted by his responsibility for past sins -- and so assumes guilt for a murder he did not commit as an act of atonement and an opportunity to find consolation.The rhythms of Oskar's drums are intricate and insistent, and they lead us, often by way of shocking fantasies, through the dark forest of German history. Through Oskar's piercing, outspoken voice and deformed little figure, through the imaginative distortion and exaggeration of historical experience, a pathetically hilarious yet startlingly true portrayal of the human situation comes into view.","Gunter Grass, Günter Grass",Vintage Books USA,1964,Drummers (Musicians),35.0
Whispers,"Hilary Thomas, a screenwriter scarred by childhood abuse, and Tony Clemenza, an ace cop and would-be artist, plunge into a love affair while pursuing the psychopath who brutally assaulted Hilary.",Dean R. Koontz,Penguin,2006,Fiction,19.0
The Last Jihad (Political Thrillers Series #1),"A gripping and prescient tale from New York Times best selling author Joel C. Rosenberg. ""... The Last Jihad absolutely crackles with high energy and a chilling premise--what if the war on terror goes nuclear."" -- Rush Limbaugh Jon Bennett is a top Wall Street strategist turned senior White House advisor. But nothing has prepared him for the terror that he will face. Saddam Hussein dispatches his top hit men to assassinate the President of the United States. Iraqi terrorists spread carnage throughout London, Paris, and Riyadh . . . and the Butcher of Baghdad has a nuclear ace in his hand that he has not yet played. Only a solid Arab-Isreali coalition against Iraq can keep the U.S.--and other Western nations--from certain devastation. And only Bennett and his beautiful partner, Erin McCoy, can make that happen. Their secret project--a billion-dollar oil deal off the coast of Gaza--could be the basis for an historic peace treaty and enormous wealth for every Isreali and Palestinian. But just before a treaty can be signed, Isreali commandos foil an Iraqi Scud missile launch, recovering a nuclear warhead and evidence that the next attack will level Washington, New York and Tel Aviv. Now, the Isreali Prime Minister gives the American President an ultimatum: Melt down Baghdad within one hour . . . or Israel will do it herself. From Jerusalem, Bennett and McCoy must summon all their stealth and savvy to save themselves--and the world--from absolute destruction. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Joel C. Rosenberg,Forge Books,2010-08-24,Fiction,61.0
"Winter's Heart (The Wheel of Time, Book 9)","The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. Rand is on the run with Min, and in Cairhein, Cadsuane is trying to figure out where he is headed. Rand's destination is, in fact, one she has never considered. Mazrim Taim, leader of the Black Tower, is revealed to be a liar. But what is he up to? Faile, with the Aiel Maidens, Bain and Chiad, and her companions, Queen Alliandre and Morgase, is prisoner of Savanna's sept. Perrin is desperately searching for Faile. With Elyas Machera, Berelain, the Prophet and a very mixed ""army"" of disparate forces, he is moving through country rife with bandits and roving Seanchan. The Forsaken are ever more present, and united, and the man called Slayer stalks Tel'aran'rhiod and the wolfdream. In Ebou Dar, the Seanchan princess known as Daughter of the Nine Moons arrives--and Mat, who had been recuperating in the Tarasin Palace, is introduced to her. Will the marriage that has been foretold come about? TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan Warrior of the Altaii By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Robert Jordan,Tor Books,2010-06-22,Fiction,3.0
"Dragons of the Dwarven Depths: The Lost Chronicles, Volume I (Lost Chronicles Trilogy)","Tanis Half-Elven... Flint Fireforge... Tasslehoff Burfoot... the classic Dragonlance characters are back! Picking up where the first book of the classic Dragonlance Chronicles left off, this tale follows the Companions of the Lance on their adventures following the rescue of the refugees of Pax Tharkas. Flint and Tanis Half-Elven travel to the dwarven kingdom of Thorbardin, while the rest of the Companions confront challenges of their own.","Margaret Weis, Tracy Hickman",Wizards of the Coast,2009-07-07,Fiction,8.0
Confessions of an Economic Hitman,"Shocking Bestseller: The original version of this astonishing tell-all book spent 73 weeks on the New York Times bestseller list, has sold more than 1.25 million copies, and has been translated into 32 languages. New Revelations: Featuring 15 explosive new chapters, this expanded edition of Perkins's classic bestseller brings the story of economic hit men (EHMs) up to date and, chillingly, home to the US. Over 40 percent of the book is new, including chapters identifying today's EHMs and a detailed chronology extensively documenting EHM activity since the first edition was published in 2004. Former economic hit man John Perkins shares new details about the ways he and others cheated countries around the globe out of trillions of dollars. Then he reveals how the deadly EHM cancer he helped create has spread far more widely and deeply than ever in the US and everywhere else—to become the dominant system of business, government, and society today. Finally, he gives an insider view of what we each can do to change it. Economic hit men are the shock troops of what Perkins calls the corporatocracy, a vast network of corporations, banks, colluding governments, and the rich and powerful people tied to them. If the EHMs can't maintain the corrupt status quo through nonviolent coercion, the jackal assassins swoop in. The heart of this book is a completely new section, over 100 pages long, that exposes the fact that all the EHM and jackal tools—false economics, false promises, threats, bribes, extortion, debt, deception, coups, assassinations, unbridled military power—are used around the world today exponentially more than during the era Perkins exposed over a decade ago. The material in this new section ranges from the Seychelles, Honduras, Ecuador, and Libya to Turkey, Western Europe, Vietnam, China, and, in perhaps the most unexpected and sinister development, the United States, where the new EHMs—bankers, lobbyists, corporate executives, and others—“con governments and the public into submitting to policies that make the rich richer and the poor poorer.” But as dark as the story gets, this reformed EHM also provides hope. Perkins offers a detailed list of specific actions each of us can take to transform what he calls a failing Death Economy into a Life Economy that provides sustainable abundance for all.",John Perkins,Berrett-Koehler Publishers,2016-02-09,Biography & Autobiography,2.0
Emma (Signet classics),"Emma is bright, pretty, rich, supremely self-assured, and determined to impose her romantic ideals on all those around her. Her well-ordered life is about to change, though, as she embarks on a journey of growth and discovery described with the wit, grace, and style and humor that is Jane Austen's unforgettable signature.",Jane Austen,Signet Classics,1980,England,1.0
The Atonement Child,"From the New York Times bestselling author of Redeeming Love and The Masterpiece—and “one of [Christian fiction’s] most honored and talented writers” (Library Journal)—comes a heart-wrenching but uplifting story about a highly controversial topic. Dynah Carey knew where her life was headed. Engaged to a wonderful man, the daughter of doting parents, a faithful child of God—she has it all. Then the unthinkable happens: Dynah’s perfect life is irrevocably changed by a rape that results in an unwanted pregnancy. Her family is torn apart and her seemingly rock-solid faith is pushed to the limits as she faces the most momentous choice of her life: to embrace or to end the life within her. This is ultimately a tale of three women, as Dynah’s plight forces both her mother and her grandmother to confront the choices they made. Written with balance and compassion, The Atonement Child brings a new perspective to a widely debated topic.",Francine Rivers,"Tyndale House Publishers, Inc.",2012-05-18,Fiction,76.0
All Creatures Great and Small,A country veterinary surgeon in Yorkshire describes the joys and trials of his profession and recalls his early career and experiences with his unique clientele,James Herriot,Macmillan,1992-09-15,Biography & Autobiography,66.0
Slaughterhouse-Five,"A special fiftieth anniversary edition of Kurt Vonnegut’s masterpiece, “a desperate, painfully honest attempt to confront the monstrous crimes of the twentieth century” (Time), featuring a new introduction by Kevin Powers, author of the National Book Award finalist The Yellow Birds Selected by the Modern Library as one of the 100 best novels of all time Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it. Authors as wide-ranging as Norman Mailer, John Irving, Michael Crichton, Tim O’Brien, Margaret Atwood, Elizabeth Strout, David Sedaris, Jennifer Egan, and J. K. Rowling have all found inspiration in Vonnegut’s words. Jonathan Safran Foer has described Vonnegut as “the kind of writer who made people—young people especially—want to write.” George Saunders has declared Vonnegut to be “the great, urgent, passionate American writer of our century, who offers us . . . a model of the kind of compassionate thinking that might yet save us from ourselves.” Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties. “Poignant and hilarious, threaded with compassion and, behind everything, the cataract of a thundering moral statement.”—The Boston Globe",Kurt Vonnegut,Dial Press Trade Paperback,1999-01-12,Fiction,1523.0
All the Pretty Horses,"All the Pretty Horses, the first novel of the Border Trilogy, published in 1992, was an international bestseller, winning both the National Book Award and the National Book Critics Circle Award. It tells the tale of John Grady Cole, who at sixteen finds himself the last bewildered survivor of generations of Texas ranchers, cut off from the only life he ever imagined. With two companions, he sets off for Mexico on a sometimes idyllic, sometimes comic journey to a place where dreams are paid for in blood. In 2012 Picador celebrated its 40th anniversary. During that time we have published many prize-winning and bestselling authors including Bret Easton Ellis and Cormac McCarthy, Alice Sebold and Helen Fielding, Graham Swift and Alan Hollinghurst. Years later, Picador continue to bring readers the very best contemporary fiction, non-fiction and poetry from across the globe. Discover more at picador.com/40",Cormac McCarthy,Pan Macmillan,2012-02-02,Fiction,96.0
The Selfish Gene,An ethologist shows man to be a gene machine whose world is one of savage competition and deceit,"Richard Dawkins, Charles Simonyi Professor of the Public Understanding of Science Richard Dawkins, David Dawkins, RICHARD AUTOR DAWKINS","Oxford University Press, USA",1989,Literary Criticism,76.0
Nineteen Eighty-four,"'Who controls the past controls the future: who controls the present controls the past' Hidden away in the Record Department of the sprawling Ministry of Truth, Winston Smith skilfully rewrites the past to suit the needs of the Party. Yet he inwardly rebels against the totalitarian world he lives in, which demands absolute obedience and controls him through the all-seeing telescreens and the watchful eye of Big Brother, symbolic head of the Party. In his longing for truth and liberty, Smith begins a secret love affair with a fellow-worker Julia, but soon discovers the true price of freedom is betrayal.",George Orwell,Penguin Classics,2013,Totalitarianism,7.0
A Journey to the Center of the Earth,"Follows Professor Lidenbrock, his nephew Axel, and their guide Hans as they venture deep into a volcanic crater in Iceland on a journey that leads them to the center of the earth and to incredible and horrifying discoveries.",Jules Verne,Sterling Publishing Company,2007,Fiction,1.0
"An inquiry into the nature and causes of the wealth of nations,","The annual labour of every nation is the fund which originally supplies it with all the necessaries and conveniencies of life which it annually consumes, and which consist always either in the immediate produce of that labour, or in what is purchased with that produce from other nations. According, therefore, as this produce, or what is purchased with it, bears a greater or smaller proportion to the number of those who are to consume it, the nation will be better or worse supplied with all the necessaries and conveniencies for which it has occasion.",Adam Smith,London : Printed for W. Strahan and T. Cadell,1776,Capitalism,8.0
"Moby Dick, or, The Whale","Call me Ishmael. So begins the famous opening chapter of Moby-Dick; or, The Whale. Young sailor Ishmael is hired as a crew member of a whaler named Pequod, captained by a man named Ahab. In between lengthy chapters on whale biology and descriptions of the crew and the whaling trade, readers are slowly introduced to a captivating tale. Ahab is out for revenge on the great white whale that stole his leg, leaving him with a whale-bone prosthesis and a withering hatred for the beast. Known as Moby Dick, the whale is infamous for his encounters and escapes with whale ships, and Ahab offers a gold coin, nailed to the Pequod's mast, as a reward for whoever sights him first. Beginning on a cold Christmas morning, the crew embarks on a journey to find the whale and make their fortunes. An exciting staple of American literature, Moby-Dick is a must-read for anyone interested in the classics. Herman Melville was inspired to write Moby Dick by the 1821 biographical account Narrative of the Most Extraordinary and Distressing Shipwreck of the Whale-ship Essex (Cosimo Classics, 2015), which in turn inspired the 2000 novel and 2015 movie, In the Heart of the Sea. HERMAN MELVILLE (1819-1891) was an American novelist. Born in New York, Melville lived and worked in the city for many years before moving with his family to Massachusetts, where he enjoyed a short friendship with author Nathaniel Hawthorne. Many of Melville's books are inspired by his own experiences; he sailed on merchant and whaling ships, spent time on the Marquesas Islands with natives, and spent time in England, Egypt, and Palestine. Melville even wrote poetry reflecting on the American Civil War. He eventually retired in New York City, where he was buried in the Bronx, relatively unknown. Melville was the author of 19 books of fiction, nonfiction, and poetry, including *Typee* (1846), Moby-Dick (1851), ""Bartelby the Scrivener"" (1853), ""Benito Cerino"" (1855), Battle-Pieces and Aspects of the War (1866), and Billy Budd, Sailor (1891, unfinished).",H. Melville,Рипол Классик,2016-01-04,Fiction,6.0
Moloka'i,"Young Rachel Kalama, growing up in idyllic Honolulu in the 1890s, is part of a big, loving Hawaiian family, and dreams of seeing the far-off lands that her father, a merchant seaman, often visits. But at the age of seven, Rachel and her dreams are shattered by the discovery that she has leprosy. Forcibly removed from her family, she is sent to Kalaupapa, the isolated leper colony on the island of Moloka'i. In her exile she finds a family of friends to replace the family she's lost: a native healer, Haleola, who becomes her adopted ""auntie"" and makes Rachel aware of the rich culture and mythology of her people; Sister Mary Catherine Voorhies, one of the Franciscan sisters who care for young girls at Kalaupapa; and the beautiful, worldly Leilani, who harbors a surprising secret. At Kalaupapa she also meets the man she will one day marry. True to historical accounts, Moloka'i is the story of an extraordinary human drama, the full scope and pathos of which has never been told before in fiction. But Rachel's life, though shadowed by disease, isolation, and tragedy, is also one of joy, courage, and dignity. This is a story about life, not death; hope, not despair. It is not about the failings of flesh, but the strength of the human spirit.",Alan Brennert,St. Martin's Press,2010-04-01,Fiction,1882.0
The Pearl,"“There it lay, the great pearl, perfect as the moon.” A Penguin Classic One of Steinbeck’s most taught works, The Pearl is the story of the Mexican diver Kino, whose discovery of a magnificent pearl from the Gulf beds means the promise of a better life for his impoverished family. His dream blinds him to the greed and suspicions the pearl arouses in him and his neighbors, and even his loving wife Juana cannot temper his obsession or stem the events leading to tragedy. This classic novella from Nobel Prize-winner John Steinbeck examines the fallacy of the American dream, and illustrates the fall from innocence experienced by people who believe that wealth erases all problems. This Penguin Classics edition features an introduction by Linda Wagner-Martin and original illustrations by Mexican artist José Clemente Orozco. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",John Steinbeck,Penguin,1994-10-01,Fiction,51.0
"Mayflower : A Story of Courage, Community, and War","A history of the Pilgrim settlement of New England challenges popular misconceptions, discussing such topics as the diseases of European origin suffered by the Wampanoag tribe, the fragile working relationship between the Pilgrims and their Native American neighbors, and the devastating impact of the King Philip's War. By the author of Sea of Glory. 450,000 first printing.",Nathaniel Philbrick,Penguin,2006,History,27.0
Spook: Science Tackles the Afterlife,"Draws on the achievements of scientists, engineers, and mediums to consider the feasibility of life after death, from a reincarnation researcher's experimentation with out-of-body experiences to laboratory investigations into ghosts.",Mary Roach,W. W. Norton & Company,2006-10-17,Language Arts & Disciplines,22.0
Sister Carrie,"The story of a young woman from Wisconsin who goes to Chicago, becomes an actress, marries and moves to New York, and when her husband loses his job, returns to the stage.",Theodore Dreiser,W. W. Norton,1970,Chicago (Ill.),11.0
"Liberal Fascism: The Secret History of the American Left, From Mussolini to the Politics of Meaning","Draws parallels between the fascism of the 1930s and the liberalism of the present, arguing that liberal politicians from Woodrow Wilson to Hillary Clinton have espoused policies and principles similar to those of Hitler's National Socialism.",Jonah Goldberg,Crown Forum,2009,History,21.0
Jim Cramer's Real Money: Sane Investing in an Insane World,"Presents guidelines on how to invest successfully by becoming a ""prudent speculator,"" explaining the role of psychology in risk taking while covering such topics as spotting an undervalued stock and knowing when to sell.",Jim Cramer,Simon and Schuster,2009-01-06,Biography & Autobiography,9.0
The Great Brain,"In a small town in turn-of-the-century Utah, a precocious ten-year-old boy hatches scheme after scheme to gain prestige and money. Reissue.",John Dennis Fitzgerald,Great Brain,2004,Juvenile Fiction,18.0
The Wonderful Wizard of Oz,"After a cyclone transports her to the land of Oz, Dorothy must seek out the great wizard in order to return to Kansas.",Lyman Frank Baum,"Sterling Publishing Company, Inc.",2005,Juvenile Fiction,3.0
Frankenstein (Running Press classics),A scientist assembles a monster from parts of deadbodies which develops a mind of his own as he learns to loathe himself and his creator.,Mary Wollstonecraft Shelley,Running Press Book Publishers,1990,Frankenstein (Fictitious character),1083.0
I Know Why the Caged Bird Sings,"Here is a book as joyous and painful, as mysterious and memorable, as childhood itself. I Know Why the Caged Bird Sings captures the longing of lonely children, the brute insult of bigotry, and the wonder of words that can make the world right. Maya Angelou’s debut memoir is a modern American classic beloved worldwide. Sent by their mother to live with their devout, self-sufficient grandmother in a small Southern town, Maya and her brother, Bailey, endure the ache of abandonment and the prejudice of the local “powhitetrash.” At eight years old and back at her mother’s side in St. Louis, Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later, in San Francisco, Maya learns that love for herself, the kindness of others, her own strong spirit, and the ideas of great authors (“I met and fell in love with William Shakespeare”) will allow her to be free instead of imprisoned. Poetic and powerful, I Know Why the Caged Bird Sings will touch hearts and change minds for as long as people read. “I Know Why the Caged Bird Sings liberates the reader into life simply because Maya Angelou confronts her own life with such a moving wonder, such a luminous dignity.”—James Baldwin From the Paperback edition.",Maya Angelou,Random House,2010-07-21,Biography & Autobiography,3252.0
"Persuader (Jack Reacher, No. 7)","THE #1 NEW YORK TIMES BESTSELLING JACK REACHER SERIES THAT INSPIRED TWO MAJOR MOTION PICTURES AND THE UPCOMING STREAMING SERIES REACHER “Gripping and suspenseful . . . Child ratchets up the suspense to new heights.”—The Denver Post Jack Reacher lives for the moment. Without a home. Without commitment. And with a burning desire to right wrongs—and rewrite his own agonizing past. DEA Susan Duffy is living for the future, knowing that she has made a terrible mistake by putting one of her own female agents into a death trap within a heavily guarded Maine mansion. Staging a brilliant ruse, Reacher hurtles into the dark heart of a vast criminal enterprise. Trying to rescue an agent whose time is running out, Reacher enters a crime lord’s waterfront fortress. There he will find a world of secrecy and violence—and confront some unfinished business from his own past.",Lee Child,Delacorte Press,2003-05-13,Fiction,54.0
48 Laws of Power,"THE MILLION COPY INTERNATIONAL BESTSELLER Drawn from 3,000 years of the history of power, this is the definitive guide to help readers achieve for themselves what Queen Elizabeth I, Henry Kissinger, Louis XIV and Machiavelli learnt the hard way. Law 1: Never outshine the master Law 2: Never put too much trust in friends; learn how to use enemies Law 3: Conceal your intentions Law 4: Always say less than necessary. The text is bold and elegant, laid out in black and red throughout and replete with fables and unique word sculptures. The 48 laws are illustrated through the tactics, triumphs and failures of great figures from the past who have wielded - or been victimised by - power. ___________________________________ (From the Playboy interview with Jay-Z, April 2003) PLAYBOY: Rap careers are usually over fast: one or two hits, then styles change and a new guy comes along. Why have you endured while other rappers haven't? JAY-Z: I would say that it's from still being able to relate to people. It's natural to lose yourself when you have success, to start surrounding yourself with fake people. In The 48 Laws of Power, it says the worst thing you can do is build a fortress around yourself. I still got the people who grew up with me, my cousin and my childhood friends. This guy right here (gestures to the studio manager), he's my friend, and he told me that one of my records, Volume Three, was wack. People set higher standards for me, and I love it.",Robert Greene,Profile Books,2010-09-03,"Body, Mind & Spirit",44.0
Painted Bird,"The classic novel of a boy’s struggle for survival in WWII Poland, from the National Book Award–winning author of Steps and Being There. “In 1939, a six-year-old boy is sent by his anti-Nazi parents to a remote village in Poland where they believe he will be safe. Things happen, however, and the boy is left to roam the Polish countryside. . . . To the blond, blue-eyed peasants in this part of the country, the swarthy, dark-eyed boy who speaks the dialect of the educated class is either Jew, gypsy, vampire, or devil. They fear him and they fear what the Germans will do to them if he is found among them. So he must keep moving. In doing so, over a period of years, he observes every conceivable variation on the theme of horror” (Kirkus Reviews). Originally published in 1965, The Painted Bird established Jerzy Kosinski as a major literary figure. With sparse prose and vivid imagery, it is a story of mythic proportion and timeless human relevance. “One of the best . . . Written with deep sincerity and sensitivity.” —Elie Wiesel, The New York Times Book Review “Of all the remarkable fiction that emerged from World Wat II, nothing stands higher than Jerzy Kosinski’s The Painted Bird. A magnificent work of art, and a celebration of the individual will. No one who reads it will forget it; no one who reads it will be unmoved by it. The Painted Bird enriches our literature and our lives.” —Jonathan Yardley, The Miami Herald “Extraordinary . . . Literally staggering . . . One of the most powerful books I have ever read.” —Richard Kluger, Harper’s Magazine “One of our most significant writers.” —Newsweek",Jerzy Kosinski,"Grove/Atlantic, Inc.",2007-12-01,Fiction,27.0
The Innocent,"NOW THE NETFLIX ORIGINAL SERIES EL INOCENTE! The bestselling author and creator of the hit Netflix drama The Stranger takes readers on an electrifying ride in this thriller that peeks behind the white picket fences of suburbia—where one mistake can change your life forever. One night, Matt Hunter innocently tried to break up a fight—and ended up a killer. Now, nine years later, he’s an ex-con who takes nothing for granted. His wife, Olivia, is pregnant, and the two of them are closing on their dream house. But all it will take is one shocking, inexplicable call from Olivia’s cell phone to shatter Matt’s life a second time...",Harlan Coben,Penguin,2005-04-26,Fiction,34.0
The Romanov Prophecy,"After the Russian people vote to bring back the Tsar, to be chosen from the distant relatives of Nicholas II, attorney Miles Lord heads for Moscow to perform a background check on one of the candidates, but his assignment turns unexpectedly dangerous.",Steve Berry,"Random House Digital, Inc.",2007-11,Fiction,35.0
Caddie Woodlawn,"An illustrated edition of the Newberry Medal–winning Caddie Woodlawn, which has been captivating young readers since 1935. Caddie Woodlawn is a real adventurer. She'd rather hunt than sew and plow than bake, and tries to beat her brother's dares every chance she gets. Caddie is friends with Indians, who scare most of the neighbors—neighbors who, like her mother and sisters, don't understand her at all. Caddie is brave, and her story is special because it's based on the life and memories of Carol Ryrie Brink's grandmother, the real Caddie Woodlawn. Her spirit and sense of fun have made this book a classic that readers have taken to their hearts for more than seventy years.",Carol Ryrie Brink,Aladdin,2006-12-26,Juvenile Fiction,29.0
Violin A Novel,"The demonic ghost of a Russian aristocrat uses his magic violin to enchant the exquisite Triana and transport her to a terrifying realm where they join a battle of wills, in an evocative tale of seduction. Reprint.",Anne Rice,"Random House Digital, Inc.",1999,Fiction,9.0
The Literacy Bridge - Large Print - Johnny Tremain,"After injuring his hand, a silversmith's apprentice in Boston becomes a messenger for the Sons of Liberty in the days before the American Revolution.",Esther Forbes,Cornerstone Books,1987,Apprentices,21.0
Murder on the Orient Express: A Hercule Poirot Mystery,"""The murderer is with us–on the train now . . ."" Just after midnight, the famous Orient Express is stopped in its tracks by a snowdrift. By morning, the millionaire Samuel Edward Ratchett lies dead in his compartment, stabbed a dozen times, his door locked from the inside. One of his fellow passengers must be the murderer. Isolated by the storm, detective Hercule Poirot must find the killer among a dozen of the dead man's enemies, before the murderer decides to strike again . . .",Agatha Christie,Harper Collins,2011-03-29,Fiction,153.0
Interview With The Vampire SIGNED First Edition,"From #1 New York Times bestselling author Anne Rice, this sensuously written spellbinding classic remains 'the most successful vampire story since Bram Stoker's Dracula' (The Times) In a darkened room a young man sits telling the macabre and eerie story of his life - the story of a vampire, gifted with eternal life, cursed with an exquisite craving for human blood. Anne Rice's compulsively readable novel is arguably the most celebrated work of vampire fiction since Bram Stoker's Dracula was published in 1897. When Interview with the Vampire was originally published the Washington Post said it was: called Interview with the Vampire a 'thrilling, strikingly original work of the imagination . . . sometimes horrible, sometimes beautiful, always unforgettable'. Now, more than forty years since its release, Anne Rice's masterpiece is more beloved than ever.",Anne Rice,Hachette UK,2015-01-29,Fiction,163.0
BEACH ROAD,"Dark mysteries come to East Hampton while a struggling lawyer fights to save his friend from being framed for a triple murder. Montauk lawyer Tom Dunleavy's client list is woefully small-occasional real estate closings barely keep him in paper clips. So when he is hired to defend a local man accused in a triple murder in East Hampton, he knows that he has found the case of his lifetime. The crime turns the glittering playground for the super-rich into a blazing inferno. Dunleavy's client is a local hero, but he knows the case rests on money, deception, and forbidden desires. His client will be framed-unless he can find the key to the case. When Dunleavy is joined by his former flame, the savvy and well-connected attorney, Kate Costello, he believes he has a chance. But payback is a bitch, especially from the rich. The violent retaliations of billionaires threatened by his investigation exceed anything Dunleavy has ever seen. With the entire nation's eyes on him in a new Trial of the Century, Dunleavy orchestrates a series of revelations that lead to a stunning outcome-and the truth is wilder than anything he ever imagined.","James Patterson, Peter de Jonge","Little, Brown",2006-05-01,Fiction,36.0
Old Man & the Sea,"From the New York Times–bestselling author of Poison Flower: a retired intelligence officer is caught in “[a] harrowing hunt-and-hide adventure” (The New York Times). To all appearances, Dan Chase is a harmless retiree in Vermont with two big mutts and a grown daughter he keeps in touch with by phone. But most sixty-year-old widowers don’t have multiple driver’s licenses, savings stockpiled in banks across the country, or two Beretta Nanos stashed in the spare bedroom closet. Most have not spent decades on the run. Thirty-five years ago, as a young army intelligence hotshot, Chase was sent to Libya to covertly assist a rebel army. When the plan turned sour, Chase acted according to his conscience—and triggered consequences he never could have anticipated. To this day, someone still wants him dead. And just when he thought he was finally safe, Chase is confronted with the history he spent much of his life trying to escape. “Perry drives deep into Jack Reacher territory in this stand-alone [novel] . . . Swift, unsentimental, and deeply satisfying. Liam Neeson would be perfect in the title role.” —Kirkus Reviews",Thomas Perry,"Grove/Atlantic, Inc.",2017-01-03,Fiction,16.0
The Queen of the Damned (The Vampire Chronicles),"In a feat of virtuoso storytelling, Anne Rice unleashes Akasha, the queen of the damned, who has risen from a six-thousand-year sleep to let loose the powers of the night. Akasha has a marvelously devious plan to “save” mankind and destroy the vampire Lestat—in this extraordinarily sensual novel of the complex, erotic, electrifying world of the undead. Look for a special preview of Anne Rice’s Prince Lestat in the back of the book. The Vampire Chronicles continue in Prince Lestat and the Realms of Atlantis, available for pre-order now. Praise for The Queen of the Damned “Mesmerizing . . . a wonderful web of dark-side mythology.”—San Francisco Chronicle “With The Queen of the Damned, Anne Rice has created universes within universes, traveling back in time as far as ancient, pre-pyramidic Egypt and journeying from the frozen mountain peaks of Nepal to the crowded, sweating streets of southern Florida.”—Los Angeles Times “Imaginative . . . intelligently written . . . This is popular fiction of the highest order.”—USA Today “A tour de force.”—The Boston Globe",Anne Rice,Ballantine Books,2010-11-17,Fiction,64.0
